ChannelName,LogoPath,PlayStationVue,HuluLive,YouTubeLive,SlingTV,DirecTVNow
A&E TV,ae-logo.svg,,Yes,,,
ABC,abc-logo.png,,Regional,,,
ABC On-Demand,abc-logo.png,,Yes,,,
AMC,,,No,,,
Bravo,bravo-logo.svg,,Yes,,,
Cartoon Network,,,Regional,,,
CBS,,,Regional,,,
CBS On-Demand,,,Yes,,,
Chiller,chiller-logo.svg,,Yes,,,
CNBC,,,Yes,,,
CNN,,,Yes,,,
CNN International,,,Yes,,,
Comedy Central,,,Yes,,,
Disney Channel,,,Yes,,,
Disney Junior,,,Yes,,,
E!,e-logo.png,,Yes,,,
Food Network,,,Yes,,,
Fox,,,Yes,,,
Fox Business,,,Yes,,,
Fox News,,,Yes,,,
FreeForm,,,Yes,,,
FX,,,Yes,,,
FXX,,,Yes,,,
FXM,,,Yes,,,
fyi,,,Yes,,,
HGTV,,,Yes,,,
History Channel,,,Yes,,,
Lifetime,,,Yes,,,
LMN,,,Yes,,,
MSNBC,,,Yes,,,
National Geographic,,,Yes,,,
Nat Geo Wild,,,Yes,,,
NBC,,,Yes,,,
NBC On-Demand,,,Yes,,,
Oxygen,,,Yes,,,
Pop,,,Yes,,,
Sprout,,,Yes,,,
SyFy,,,Yes,,,
TBS,,,Yes,,,
Travel Channel,,,Yes,,,
TNT,,,Yes,,,
Turner Classic Movies,,,Yes,,,
Tru,,,Yes,,,
USA,,,Yes,,,
Viceland,,,Yes,,,
