DeviceName,DeviceDetail,ImagePath,PlayStationVue,PlayStationVueDetail,HuluLive,HuluLiveDetail,YouTubeLive,YouTubeLiveDetail,SlingTV,SlingTVDetail,DirecTVNow,DirecTVNowDetail
Amazon Fire Tablets,,,Yes,3rd Gen+,No,,,,,,,
Amazon fireTV,,,Yes,All Gens,No,,,,,,,
Amazon fireTVstick,,,Yes,All Gens,No,,,,,,,
AndroidTV,,,Yes,All Gens,No,,,,,,,
Android Phones,,,No,,Yes,,,,,,,
Android Tablets,,,No,,Yes,,,,,,,
Apple iPad,,,Yes,"iOS 7.0+, iPad Mini 1st Gen+, iPad 2nd Gen+",Yes,,,,,,,
Apple iPhone,,,Yes,"iOS 7.0+, iPhone 5+, iPod Touch 4th Gen+",Yes,,,,,,,
AppleTV,,,Yes,4th Gen+ Running OS 10.0+,Yes,4th Gen,,,,,,
Google Chromecast,,,Yes,All Gens,Yes,,,,,,,
Sony PlayStation 4,,,Yes,,No,,,,,,,
Sony PlayStation 3,,,Yes,,No,,,,,,,
Roku,,,Yes,OS 7.1+,No,,,,,,,
Xbox One,,,No,,Yes,,,,,,,
Web Browsers,,,,,Yes,,,,,,,
